CD_CVM,CNPJ,DENOM_SOCIAL,SIT,DT_INI_SIT,TP_ENDER,LOGRADOURO,COMPL,BAIRRO,MUN,UF,CEP
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL RIO DE JANEIRO,"RUA DO RUSSEL, 804","7º ANDAR - SL. 701, ED. MANCHETE",GLÓRIA,RIO DE JANEIRO,RJ,22210907
10286,07.033.317/0001-73,PRIME AUDITORES INDEPENDENTES S/S - EPP,ATIVO,2005-05-18,SEDE,"RUA TURIASSÚ, 127",3º ANDAR - CJ. 32 E 33,PERDIZES,SÃO PAULO,SP,5005001
10286,07.033.317/0001-73,PRIME AUDITORES INDEPENDENTES S/S - EPP,ATIVO,2005-05-18,FILIAL GOIANIA,"AVENIDA C-255, 370","QD 600, LT 01 SALA 306",SETOR NOVA SUIÇA,GOIÂNIA,GO,74280010
8907,04.102.908/0001-67,PROGRESS AUDITORES INDEPENDENTES,ATIVO,2001-02-05,SEDE,"RUA CONCEIÇÃO, 233",11º ANDAR - SL1104,CENTRO,CAMPINAS,SP,13010050
8907,04.102.908/0001-67,PROGRESS AUDITORES INDEPENDENTES,ATIVO,2001-02-05,FILIAL SP,"RUA DR ALFREDO DE CASTRO, 200","ED TRADEMARK PAC, CJ 412 - PARTE",BARRA FUNDA,SÃO PAULO,SP,1155060
8680,02.924.087/0001-19,PROSPECTA AUDITORES ASSOCIADOS S/S,ATIVO,2000-07-28,SEDE,"RUA REPÚBLICA ARGENTINA, 751",,PONTA AGUDA,BLUMENAU,SC,89050100
9458,04.404.879/0001-98,PSW BRASIL AUDITORES INDEPENDENTES,ATIVO,2002-09-09,SEDE,"RUA FRANCISCO ROCHA, 2026",,BIGORRILHO,CURITIBA,PR,80710540
8559,01.591.859/0001-85,R & M AUDITORES INDEPENDENTES E CONSULTORES S/S,ATIVO,2000-05-18,SEDE,"AV. CONSELHEIRO FURTADO, 2391",GRUPO 109/705,CREMAÇÃO,BELÉM,PA,66040100
8460,38.725.438/0001-00,R&R AUDITORIA E CONSULTORIA - EPP,ATIVO,2000-04-03,SEDE,"Rua Tomé de Souza, 273",12o. andar,Savassi,BELO HORIZONTE,MG,30140130
13110,28.798.390/0001-06,R4 AUDITORIA INDEPENDENTE S/S - ME,ATIVO,2021-07-16,SEDE,"RUA ANFILÓFIO DE CARVALHO, 29",SL 917 E 918,CENTRO,RIO DE JANEIRO,RJ,20030901
6700,32.646.846/0001-90,RAAC AUDITORES E CONSULTORES INDEPENDENTES SOCIEDADE SIMPLES,ATIVO,1997-01-16,SEDE,"AV LUÍS VIANA, 6462","ED. WALL STREET, SALAS 127 / 128",PARALELA,SALVADOR,BA,41730101
9733,05.465.151/0001-39,RAMIRES & CIA - AUDITORES  INDEPENDENTES  SOCIEDADE SIMPLES,ATIVO,2003-06-04,SEDE,"AV. ASSIS BRASIL, 3316",SALA 705,CRISTO REDENTOR,PORTO ALEGRE,RS,91010003
13390,47.569.752/0001-31,RBORDIGNON AUDITORES INDEPENDENTES LTDA,ATIVO,2023-07-12,SEDE,"Avenida Marquês de São Vicente, 2219",conjunto 1111 - 11º andar - Ed. Time Office,Água Branca,SÃO PAULO,SP,5036040
8982,02.510.250/0001-05,"REIS CONSULTORIA, AUDITORIA AUDITORES INDEPENDENTES",ATIVO,2001-04-11,SEDE,"RUA SENADOR DANTAS, 71",SALA 701,CENTRO,RIO DE JANEIRO,RJ,20031202
12041,18.393.898/0001-70,RENGI TREVOR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES,ATIVO,2014-01-23,SEDE,"AV. DR. CHUCRI ZAIDAN, 1550",CONJ317 - 3º ANDAR,VILA SÃO FRANCISCO,SÃO PAULO,SP,4711130
9792,05.341.241/0001-18,RICARTE AUDITORES INDEPENDENTES S/S,ATIVO,2003-07-10,SEDE,"RUA VEREADOR JOÃO CALAZANS, 98",SALA 02,PRAIA 13 DE JULHO,ARACAJU,SE,49020030
12793,25.026.445/0001-71,RIOS & VIANA AUDITORES INDEPENDENTES S/S,ATIVO,2018-05-21,SEDE,"AVENIDA PAULISTA, 1765",7º ANDAR - CJ. 72,BELA VISTA,SÃO PAULO,SP,1311200
12580,24.844.770/0001-89,RNC - RIO NOVO AUDITORES INDEPENDENTES S/S,ATIVO,2016-06-23,SEDE,"RUA ENXOVIA, 472","15º ANDAR, CONJ 1505",VILA SÃO FRANCISCO,SÃO PAULO,SP,4711030
11142,07.679.313/0001-67,RÖDL & PARTNER AUDITORES INDEPENDENTES,ATIVO,2009-01-22,SEDE,"RUA VERBO DIVINO, 1488",3º AND. - SL. 31-A,CHÁCARA STO ANTONIO (ZONA SUL),SÃO PAULO,SP,4719002
11142,07.679.313/0001-67,RÖDL & PARTNER AUDITORES INDEPENDENTES,ATIVO,2009-01-22,FILIAL CAMPINAS,"AV. ROCHA BOMFIM, 214","COND PRAÇA CAPITAL - BLOCO C FRANKFURT, SLS 129/130",CENTER STA GENEBRA,CAMPINAS,SP,13080650
11142,07.679.313/0001-67,RÖDL & PARTNER AUDITORES INDEPENDENTES,ATIVO,2009-01-22,FILIAL CURITIBA,"ALAMEDA CARLOS DE CARVALHO, 555",SALA 72,CENTRO,CURITIBA,PR,80035040
7048,02.063.967/0001-48,ROKEMBACH & CIA. AUDITORES LTDA.,ATIVO,1998-02-18,SEDE,"AV. CARLOS GOMES, 328",CJ. 401,BOA VISTA,PORTO ALEGRE,RS,90480000
7048,02.063.967/0001-48,ROKEMBACH & CIA. AUDITORES LTDA.,ATIVO,1998-02-18,FILIAL SÃO PAULO,"ALAMEDA SANTOS, 1767",TÉRREO 1773,CERQUEIRA CÉSAR,SÃO PAULO,SP,1419100
13200,43.995.582/0001-04,RONSKOSKI AUDITORES INDEPENDENTES S/S,ATIVO,2022-05-31,SEDE,"RUA BARÃO DO CERRO AZUL, 952",SL. 206,CENTRO,SÃO JOSÉ DOS PINHAIS,PR,83005430
9091,04.228.455/0001-10,ROSITO & FILOMENA AUDITORES INDEPENDENTES,ATIVO,2001-08-27,SEDE,"RUA SÃO MANOEL, 1197",CJ 501,RIO BRANCO,PORTO ALEGRE,RS,90620110
11444,07.377.136/0001-64,RSM ACAL AUDITORES INDEPENDENTES S/S,ATIVO,2010-08-25,SEDE,"RUA TEIXEIRA DE FREITAS, 31","ED. CENTRO EMPRESARIAL ARCOS DA LAPA, SL. 1201 PARTE",CENTRO,RIO DE JANEIRO,RJ,20021350
11444,07.377.136/0001-64,RSM ACAL AUDITORES INDEPENDENTES S/S,ATIVO,2010-08-25,FILIAL CURITIBA,"RUA HEITOR STOCKLER DE FRANÇA, 396","SALAS 1401, 1411 E 1412, ED. NEO BUSINESS",CENTRO CÍVICO,CURITIBA,PR,80030030
11878,16.549.480/0001-84,RSM BRASIL AUDITORES INDEPENDENTES LTDA.,ATIVO,2012-08-16,SEDE,"AV. MARQUÊS DE SÃO VICENTE, 182",2º AND. / CJ. 23,VÁRZEA DA BARRA FUNDA,SÃO PAULO,SP,1139000
11878,16.549.480/0001-84,RSM BRASIL AUDITORES INDEPENDENTES LTDA.,ATIVO,2012-08-16,FILIAL FORTALEZA,"AV. WASHINGTON SOARES, 55 - ED. IGUATEMI EMPRESARIAL",2º ANDAR - SL. 205,,FORTALEZA,CE,60811341
11878,16.549.480/0001-84,RSM BRASIL AUDITORES INDEPENDENTES LTDA.,ATIVO,2012-08-16,FILIAL SÃO PAULO,"ALAMEDA ARAGUAIA, 2190",SALA 1601,ALPHAVILLE INDUSTRIAL,BARUERI,SP,6455000
11878,16.549.480/0001-84,RSM BRASIL AUDITORES INDEPENDENTES LTDA.,ATIVO,2012-08-16,FILIAL SALVADOR,"AV. TANCREDO NEVES, 2539","ED. CEO SALVADOR SHOPPING - TORRE LONDRES, 25º ANDAR",CAMINHO DAS ÁRVORES,SALVADOR,BA,41820021
11878,16.549.480/0001-84,RSM BRASIL AUDITORES INDEPENDENTES LTDA.,ATIVO,2012-08-16,FILIAL BELO HORIZONTE,"RUA RIO GRANDE DO NORTE, 1436",7º ANDAR,FUNCIONÁRIOS,BELO HORIZONTE,MG,30130138
11878,16.549.480/0001-84,RSM BRASIL AUDITORES INDEPENDENTES LTDA.,ATIVO,2012-08-16,FILIAL RIO DE JANEIRO,"RUA SÃO JOSÉ, 40",4º ANDAR,CENTRO,RIO DE JANEIRO,RJ,20010020
11592,13.098.174/0001-80,RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S,ATIVO,2011-07-29,SEDE,"ALAMEDA RIO NEGRO, 1030","COND. STADIUM - ALPHAVILLE CENTRO IND E EMPRESARIAL, ESCRITÓRIO 206",ALPHAVILLE,BARUERI,SP,6454000
5010,35.330.125/0001-64,SÁ LEITÃO AUDITORES S/S,ATIVO,1990-11-21,SEDE,"RUA GENERAL JOAQUIM INÁCIO, 790","EMPRESARIAL SÁ LEITÃO, 9º ANDAR / SL. 901",PAISSANDU,RECIFE,PE,50070495
6017,74.006.719/0001-76,SACHO - AUDITORES INDEPENDENTES,ATIVO,1994-04-14,SEDE,"RUA REDENCAO, 66",,CHACARA TATUAPE,SÃO PAULO,SP,3060010
4359,16.188.609/0001-76,SANTANA & SOUSA AUDITORES INDEPENDENTES,ATIVO,1988-08-09,SEDE,"AV TANCREDO NEVES, 1222","S/105, EDF CATABAS TOWER",CAMINHO DAS ARVORES,SALVADOR,BA,41820020
12106,19.204.243/0001-70,SAPPIA AUDITORES E CONSULTORES,ATIVO,2014-04-24,SEDE,"RUA FORTALEZA, 76",CONJUNTO 1-D,SAGUAÇU,JOINVILLE,SC,89221650
10880,09.253.880/0001-82,SAX AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES - ME,ATIVO,2008-03-05,SEDE,"RUA CEL. ABÍLIO SOARES, 261",SL. 71 / CJ. 01,CENTRO,SANTO ANDRÉ,SP,9020260
11541,12.360.506/0001-90,SCHENFELDER SALGUEIRO TOMAZINI AUDITORES ASSOCIADOS S/S,ATIVO,2011-01-26,SEDE,"AVENIDA MIGUEL SUTIL, 8388",EDIFICIO AVANT GARDE  SALA 409,SANTA ROSA,CUIABÁ,MT,78040365
3964,90.987.942/0001-06,SCHIMITT AUDITORES S/S,ATIVO,1987-01-06,SEDE,"AV. BENTO GONÇALVES, 1757","SL. 203,301 E 302",PARTENON,PORTO ALEGRE,RS,90650002
5487,81.140.576/0001-56,SELECTA AUDITORES INDEPENDENTES S/S,ATIVO,1992-05-11,SEDE,"RUA DOUTOR JOÃO COLIN, 1285",SALA 03,AMÉRICA,JOINVILLE,SC,89204001
10731,03.156.926/0001-69,SÊNIOR AUDITORES INDEPENDENTES S/S,ATIVO,2007-05-25,SEDE,"RUA ARTHUR THOMAS, 576",SALA 402-A,CENTRO - ZONA 1,MARINGÁ,PR,87013250
7307,62.641.535/0001-07,SENSO AUDITORES INDEPENDENTES,ATIVO,1998-10-21,SEDE,"AV DIVINO SALVADOR, 646",,INDIANÓPOLIS,SÃO PAULO,SP,4078012
11550,12.110.347/0001-76,SÉRGIO STAHN AUDITORES INDEPENDENTES S/S,ATIVO,2011-01-31,SEDE,"RUA INAMBU, 496",SL. 03,COSTA E SILVA,JOINVILLE,SC,89220001
8796,01.710.008/0001-04,SESE AUDITORES S/C,SUSPENSO(A) - DECISÃO ADM,2018-12-18,SEDE,"AV. TREZE DE MAIO, 47",SL. 1113 (PARTE),CENTRO,RIO DE JANEIRO,RJ,20031921
